"candidate"	"accession"	"role"	"url"	"file"	"bytes"	"md5"	"sha256"	"status"
"CeD"	"GCST000612"	"eligible_core"	"https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz"	"GCST000612_20190752.h.tsv.gz"	"40403376"	"39ced5240a87b8bedf5807fb5e970fb7"	"d6f6a3656b6f0d86045f5115f31b1020ddcf05dec34545d1034b9c4c4929441c"	"PASS"
"CeD"	"GCST010064"	"secondary_missing_SE"	"https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST010001-GCST011000/GCST010064/Meta.PL.IT.IR.SP.UK.AR1.AR2.NL.2017.meta.csv"	"GCST010064_Meta.PL.IT.IR.SP.UK.AR1.AR2.NL.2017.meta.csv"	"10451587"	"e633a2bdcd47f180600c04102d8434a5"	"5c7a91b5ee4e4e63d8c11a8fca2ff4a0b2ffe64042e6494154ea34d31b259b7c"	"PASS"
