gene	cell_type	gjoka_locus_index	force_multisignal	n_snps	qtl_N	gwas_min_p	qtl_min_p	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4	H4_over_H3H4	H4_p12_1e-6	H4ratio_p12_1e-6	H4_p12_1e-4	classification	shared_top_variant	shared_top_SNP_PP_H4_conditional	trigger_reason
IL12RB2	NK	2	True	1081	980	6.61382e-63	4.791457835769774e-12	1.0404248325159024e-63	2.943731555702974e-08	1.0043459104642473e-58	0.0018434949893628655	0.9981564755733272	0.9981565049563695	0.9818656360198611	0.9818659203375038	0.9998153411765918	PASS_SINGLE_CAUSAL_SMOKE	1:67820194	0.8340134324573574	PUBLISHED_DISEASE_MULTISIGNAL_FORCE
FCRL3	B_IN	4	False	929	975	2.07942377761228e-08	3.453827719277407e-26	3.087712590447634e-25	1.3885833416926947e-22	1.796053913324479e-05	0.0070841833869791275	0.9928978560738904	0.9929156893749826	0.9332454636620192	0.9334030359687512	0.9992852167633087	PASS_SINGLE_CAUSAL_SMOKE	1:157669278	0.34516050099747053	PASS_SINGLE_CAUSAL_SMOKE
FCRL3	B_MEM	4	False	930	970	2.07942377761228e-08	4.682734765767974e-09	2.1001895575318557e-08	9.44481834674924e-06	2.448587500181985e-05	0.010021663621080304	0.9899443846836757	0.9899779961148981	0.9077889926017072	0.9080717120773818	0.998985254971281	PASS_SINGLE_CAUSAL_SMOKE	1:157669278	0.33125520450547646	PASS_SINGLE_CAUSAL_SMOKE
FCRL3	CD4_NC	4	False	929	980	2.07942377761228e-08	3.779630851492013e-07	1.153709781082915e-06	0.000518837856902805	2.306588722277107e-05	0.009382946750367343	0.9900739957957265	0.9906119550018188	0.908880069294723	0.9134337413979132	0.9989984523500061	PASS_SINGLE_CAUSAL_SMOKE	1:157669278	0.3244034867513729	PASS_SINGLE_CAUSAL_SMOKE
FCRL3	CD8_ET	4	False	929	980	2.07942377761228e-08	1.522890181171245e-28	5.596378598734409e-26	2.5167621235373847e-23	0.00013223950879980527	0.05852843762499765	0.9413393228662001	0.9414638215795208	0.6160815008048414	0.6166151641764633	0.993806973892126	PASS_SINGLE_CAUSAL_SMOKE	1:157669278	0.34637777238736933	PASS_SINGLE_CAUSAL_SMOKE
FCRL3	NK	4	False	929	980	2.07942377761228e-08	1.375777651149207e-23	1.4502033173226677e-21	6.5217474409099905e-19	0.00014343016806862868	0.06356606722733095	0.936290502604599	0.9364248141730809	0.5950801736472803	0.5956231450237762	0.9932415293701712	PASS_SINGLE_CAUSAL_SMOKE	1:157668701	0.33945820483816824	PASS_SINGLE_CAUSAL_SMOKE
FCRL3	NK_R	4	False	923	750	2.07942377761228e-08	7.185838941200408e-09	4.1392691446773215e-08	1.8614807776763927e-05	5.84564857062622e-05	0.02531399923798617	0.9746088880758406	0.9746840485809969	0.7933195082463177	0.7938177778782383	0.9974015080680537	PASS_SINGLE_CAUSAL_SMOKE	1:157625122	0.15452125229600397	PASS_SINGLE_CAUSAL_SMOKE
