locus	status	best_gene	best_cell	best_PP_H4	best_H4_ratio	n_robust	n_LD_triggers
LIF/OSM	DISTINCT_SIGNAL_PRESENT	MTFP1	CD4_NC	0.06778333120778622	0.07804762288460156	0	0
OVOL1/RELA	HOLD_TARGETED_LD	SIPA1	CD8_ET	0.3270703696781534	0.4653790129288706	0	1
REEP3	UNINFORMATIVE	REEP3	CD4_NC	0.07632718236647658	0.0987133787259668	0	0
REL	DISTINCT_SIGNAL_PRESENT	PAPOLG	CD4_NC	0.029294375630934545	0.0896889819645942	0	0
TNFRSF13B	DISTINCT_SIGNAL_PRESENT	CCDC144A	CD4_NC	0.03172758266133981	0.10073862088878657	0	0
TNFSF12/13	HOLD_TARGETED_LD	EIF4A1	CD4_NC	0.390878203811277	0.499364956854585	0	2
TNFSF4/18	DISTINCT_SIGNAL_PRESENT	PRDX6	NK	0.01763968331529831	0.029225108421805628	0	0
TNFSF8/15	DISTINCT_SIGNAL_PRESENT	TNFSF8	CD4_NC	0.017974509976233427	0.018158669559106798	0	0
