locus	cell_type	gene	testable	reason	n_rows	qtl_min_p	n_expression_donors
TNFRSF13B	CD8_NC	MPRIP	True	PASS	2644	1.1414876643863302e-06	980
TNFRSF13B	CD8_NC	SMCR5	True	PASS	1884	1.135148456349871e-06	980
TNFRSF13B	CD8_NC	ZSWIM7	True	PASS	1395	1.2355045819851102e-07	980
TNFSF12/13	CD8_NC	ACAP1	True	PASS	3226	1.7713063208526133e-06	980
TNFSF12/13	CD8_NC	EIF5A	True	PASS	3146	5.484768662126667e-231	980
TNFSF12/13	CD8_NC	ELP5	True	PASS	3053	6.344930006096776e-45	980
TNFSF12/13	CD8_NC	SAT2	True	PASS	3428	2.493603954440465e-10	980
TNFSF12/13	CD8_NC	VAMP2	True	PASS	2236	2.2202519820344688e-36	980
TNFRSF13B	CD8_S100B	ZSWIM7	True	PASS	1393	1.3246408142836583e-07	959
TNFSF12/13	CD8_S100B	EIF5A	True	PASS	3148	1.4165919150071442e-122	959
TNFSF12/13	CD8_S100B	ELP5	True	PASS	3055	1.826338274790753e-18	959
TNFSF12/13	CD8_S100B	VAMP2	True	PASS	2237	7.852083756345739e-11	959
TNFSF12/13	DC	CLEC10A	True	PASS	2799	4.306411503189006e-08	726
TNFSF12/13	DC	EIF5A	True	PASS	3132	9.450653703353436e-89	726
TNFSF12/13	DC	ELP5	True	PASS	3039	2.1377343845147141e-13	726
TNFSF12/13	Mono_C	ASGR2	True	PASS	2866	4.5993366397350704e-08	851
TNFSF12/13	Mono_C	EIF5A	True	PASS	3145	4.843387737675849e-45	851
TNFSF12/13	Mono_C	ELP5	True	PASS	3052	1.1216921349370212e-27	851
TNFSF12/13	Mono_NC	EIF5A	True	PASS	3147	9.26406527943107e-76	690
TNFSF12/13	Mono_NC	ELP5	True	PASS	3054	1.3668243717450203e-14	690
TNFSF12/13	Mono_NC	TNFSF12	True	PASS	3551	1.131295493674523e-17	690
TNFRSF13B	NK	ZSWIM7	True	PASS	1395	1.2860908627339125e-19	980
TNFSF12/13	NK	ACAP1	True	PASS	3226	1.9102779824433715e-07	980
TNFSF12/13	NK	EIF5A	True	PASS	3146	2.387557655762617e-292	980
TNFSF12/13	NK	ELP5	True	PASS	3053	4.712060393212717e-165	980
TNFSF12/13	NK	SAT2	True	PASS	3428	3.0231436838881313e-13	980
TNFSF12/13	NK	TMEM107	True	PASS	2226	2.5528412156348e-06	980
TNFSF12/13	NK	VAMP2	True	PASS	2236	2.1124714512727804e-12	980
TNFSF12/13	NK	XAF1	True	PASS	2374	6.328025268362165e-08	980
TNFSF12/13	NK_R	EIF5A	True	PASS	3138	4.119906731043373e-91	750
TNFSF12/13	NK_R	ELP5	True	PASS	3045	5.293059591126085e-16	750
TNFSF12/13	NK_R	XAF1	True	PASS	2371	3.6302594375957056e-08	750
TNFSF12/13	Plasma	EIF5A	True	PASS	3110	4.368820409195435e-44	253
TNFSF12/13	Plasma	ELP5	True	PASS	3018	5.626101050257432e-19	253
LIF/OSM	CD4_NC	MTFP1	True	PASS	2911	8.614633569025205e-06	980
LIF/OSM	CD4_NC	NIPSNAP1	True	PASS	2447	9.237001775000472e-06	980
LIF/OSM	CD4_NC	OSM	True	PASS	3118	1.0424164066728568e-09	980
LIF/OSM	CD4_NC	SEC14L2	True	PASS	2955	1.3414975904441487e-05	980
LIF/OSM	CD4_NC	SF3A1	True	PASS	3047	1.760433798946727e-05	980
LIF/OSM	CD4_NC	SLC35E4	True	PASS	2481	1.3959513661050412e-05	980
LIF/OSM	CD8_ET	MTFP1	True	PASS	2911	2.619876826987906e-10	980
LIF/OSM	CD8_ET	OSM	True	PASS	3118	3.6109603696787126e-06	980
LIF/OSM	CD8_ET	SEC14L2	True	PASS	2955	1.2005455486734787e-05	980
LIF/OSM	CD8_NC	OSM	True	PASS	3118	2.5222873998442795e-07	980
LIF/OSM	CD8_S100B	MTFP1	True	PASS	2913	1.4495471823391244e-06	959
