dataset	locus	gene	cell_type	n_snps	qtl_N	gwas_min_p	qtl_min_p	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4	H4_over_H3H4	H4_p12_1e-6	H4ratio_p12_1e-6	H4_p12_1e-4	H4ratio_p12_1e-4	classification	shared_top_variant	shared_top_SNP_PP_H4_conditional
combined	OVOL1/RELA	SIPA1	CD8_ET	1909	980	4.774e-13	7.493984138197679e-06	1.2886923122673357e-07	0.29719541179863046	1.630667555696736e-07	0.37573392658722954	0.3270703696781534	0.4653790129288706	0.04635110175530207	0.08007775881031944	0.8293630328922806	0.8969586304783386	HOLD_TARGETED_LD	11:65559266	0.9677420561679378
combined	TNFSF12/13	EIF4A1	CD4_NC	2987	980	1.21e-10	9.201559287146835e-06	2.561759273805816e-05	0.21717754385729032	4.627016136751426e-05	0.3918723645773267	0.390878203811277	0.499364956854585	0.06030120408884072	0.09069937721716888	0.8651760155751749	0.9088807590928006	HOLD_TARGETED_LD	17:7462969	0.7568709687161328
combined	TNFSF12/13	SAT2	B_IN	2908	975	1.21e-10	1.5460895226494289e-06	2.4512866918763025e-05	0.2078119890372502	7.253735296213413e-05	0.6147703984668637	0.17732056227600565	0.2238638881949922	0.021099254776044112	0.0280347627048597	0.6830832573262743	0.7425558745137651	HOLD_TARGETED_LD	17:7462969	0.9774138262840888
