run_accession	expected_bytes	provider_md5	local_sha256	local_state	public_url
HRR1849459	26041030352	18555d257e844d10b40f13788830a49b	fab7a10a5e40525b2199bfec190a8892bd23233311ca0ba6a11aafd9b011e722	PASS_TARGET_PANEL_V2_BAM_DELETED	https://download.cncb.ac.cn/gsa-human/HRA008003/HRR1849459/HRR1849459.bam
HRR1849460	33332591265	978529c1f0dde9a98194bac6310b1446	963b23cdbafb098b0a6069dcc18ad5545ed822aee494cdc9cc4eeff044756bc6	PASS_TARGET_PANEL_V2_BAM_DELETED	https://download.cncb.ac.cn/gsa-human/HRA008003/HRR1849460/HRR1849460.bam
HRR1849461	28873594843	cb76945428f220d4618f12dfe924a88b	6d9e0560ed11375d80a2901bd12c23170afe3c2b22c53c943aef13be20374f7d	PASS_TARGET_PANEL_V2_BAM_DELETED	https://download.cncb.ac.cn/gsa-human/HRA008003/HRR1849461/HRR1849461.bam
HRR1849462	28323326606	79de18396f58543f649f2931d4a067eb	42ab19a8fc22ae0d4ce180f08ebc6361989c60ce9227ce601e21718d48cdb3ce	CACHED_COMPLETE_SCHEMA_PASS_WITH_WARNING_FULL_SCAN_PENDING	https://download.cncb.ac.cn/gsa-human/HRA008003/HRR1849462/HRR1849462.bam
HRR1849463	35917954133	08cfac6a2824567d1e5f88cea3e4e3bf	PENDING_DOWNLOAD	NOT_TESTED	https://download.cncb.ac.cn/gsa-human/HRA008003/HRR1849463/HRR1849463.bam
