gene	source_gene_symbol	cell_type	testable	n_rows	n_expression_donors	qtl_min_p
FCRL3	FCRL3	B_IN	True	2684	975	3.453827719277407e-26
FCRL3	FCRL3	B_MEM	True	2687	970	4.682734765767974e-09
FCRL3	FCRL3	CD4_NC	True	2684	980	3.779630851492013e-07
INAVA	C1orf106	CD4_NC	True	2841	980	0.0003916692034725212
FCRL3	FCRL3	CD8_ET	True	2684	980	1.5228901811712453e-28
FCRL3	FCRL3	CD8_NC	True	2684	980	8.880064964744762e-10
IL12RB2	IL12RB2	NK	True	2386	980	2.4714267375608334e-14
FCRL3	FCRL3	NK	True	2684	980	1.375777651149207e-23
FCRL3	FCRL3	NK_R	True	2667	750	7.185838941200408e-09
