locus_index	member	bytes	crc32	sha256
2	GJOKA_SUMSTATS/sumstats_2.assoc.logistic	274517	531d1656	a381929557351c2b05624d0e7085a536cb2112abd0bd6f518361e529891d8e12
2	GJOKA_SUMSTATS/covmat_2.ld	57496850	7ce3830d	fd1781aea429af71b036c6c419c9b458a1406da786e997a3f79882f0e508e041
4	GJOKA_SUMSTATS/sumstats_4.assoc.logistic	308142	e1867e60	f935a3f52f8049051c29a36086ca66f48f7352e43da52ec94bb3cee3e9edf369
4	GJOKA_SUMSTATS/covmat_4.ld	72084475	7c348555	147ef015a93c2f602b2c67e5ef26c55f4d8215a9cc1ae552c6a56de9a1c6add4
